Message,Date
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--MS1-下批材质=8,下批门幅=2800,下批楞型=B,下批全材质=Q.8.1.7.R"",""ExceptionInfo"":""""}",2026-06-04 16:01:19.118894
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-04 16:01:19.569890
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-04 16:01:21.947661
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-04 16:01:23.059713
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\nLS0横切换材了。上笔材质=N，门幅=2800；本批材质=Q，门幅=2800\r\nLS0材质校准：当前正在用的材质=N，门幅=2800，校准后的材质=Q，门幅=2800\r\nMS1横切换材了。上笔材质=7，门幅=2800；本批材质=8，门幅=2800\r\nMS1材质校准:当前正在用的材质=7，门幅=2800，校准后的材质=8，门幅=2800\r\nLS2横切换材了。上笔材质=K，门幅=2800；本批材质=R，门幅=2800\r\nLS2材质校准:当前正在用的材质=K，门幅=2800，校准后的材质=R，门幅=2800\r\n立刻给各部位赋值\r\n"",""ExceptionInfo"":""""}",2026-06-04 16:01:23.083454
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=88.7920,GuRange1=0,GuRange2=0,GuRange3=1"",""ExceptionInfo"":""""}",2026-06-04 16:01:31.667474
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=87.4760,GuRange1=0,GuRange2=0,GuRange3=2"",""ExceptionInfo"":""""}",2026-06-04 16:01:32.195982
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=86.1600,GuRange1=0,GuRange2=0,GuRange3=3"",""ExceptionInfo"":""""}",2026-06-04 16:01:32.771063
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=84.8440,GuRange1=0,GuRange2=0,GuRange3=4"",""ExceptionInfo"":""""}",2026-06-04 16:01:33.295539
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=83.5280,GuRange1=0,GuRange2=0,GuRange3=5"",""ExceptionInfo"":""""}",2026-06-04 16:01:33.814538
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=82.2120,GuRange1=0,GuRange2=0,GuRange3=6"",""ExceptionInfo"":""""}",2026-06-04 16:01:34.334285
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=80.8960,GuRange1=0,GuRange2=0,GuRange3=7"",""ExceptionInfo"":""""}",2026-06-04 16:01:34.865679
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=80.2380,GuRange1=0,GuRange2=0,GuRange3=8"",""ExceptionInfo"":""""}",2026-06-04 16:01:35.398563
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--MS1-下批材质=7,下批门幅=2800,下批楞型=B,下批全材质=K.7.1.7.F"",""ExceptionInfo"":""""}",2026-06-04 16:01:35.645232
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=78.2640,GuRange1=0,GuRange2=0,GuRange3=9"",""ExceptionInfo"":""""}",2026-06-04 16:01:35.960997
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=78.2640,GuRange1=0,GuRange2=0,GuRange3=10"",""ExceptionInfo"":""""}",2026-06-04 16:01:36.494017
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=76.9480,GuRange1=0,GuRange2=0,GuRange3=11"",""ExceptionInfo"":""""}",2026-06-04 16:01:37.040789
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--MS1-下批材质=7,下批门幅=2800,下批楞型=B,下批全材质=K.7.1.7.F"",""ExceptionInfo"":""""}",2026-06-04 16:01:37.283026
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=76.2900,GuRange1=0,GuRange2=0,GuRange3=12"",""ExceptionInfo"":""""}",2026-06-04 16:01:37.563767
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=74.9740,GuRange1=0,GuRange2=0,GuRange3=13"",""ExceptionInfo"":""""}",2026-06-04 16:01:38.085783
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=73.6580,GuRange1=0,GuRange2=0,GuRange3=14"",""ExceptionInfo"":""""}",2026-06-04 16:01:38.611116
